workload,iosize,process,app,duration_sec,cycles_per_sec,percent_of_total_cycles
seqwrite,4096,cfs_bench_posix,1,10.14,1365354019.31,50.66
seqwrite,4096,cfs_bench_coord,1,10.14,1068350440.69,39.64
seqwrite,4096,swapper,1,10.14,227199652.25,8.43
seqwrite,4096,htop,1,10.14,12936635.0,0.48
seqwrite,4096,node,1,10.14,5659777.81,0.21
seqwrite,4096,rshim,1,10.14,5390264.58,0.2
seqwrite,4096,cfs_bench_posix,2,10.98,2741288717.84,68.1
seqwrite,4096,cfs_bench_coord,2,10.98,1031706752.4,25.63
seqwrite,4096,swapper,2,10.98,218981066.45,5.44
seqwrite,4096,htop,2,10.98,12478700.48,0.31
seqwrite,4096,rshim,2,10.98,5635542.15,0.14
seqwrite,4096,node,2,10.98,4427925.98,0.11
seqwrite,4096,cfs_bench_posix,4,12.66,5239093364.77,80.63
seqwrite,4096,cfs_bench_coord,4,12.66,1012341245.48,15.58
seqwrite,4096,swapper,4,12.66,208576084.6,3.21
seqwrite,4096,htop,4,12.66,14294934.15,0.22
seqwrite,4096,cfs_bench_posix,8,16.76,6213456389.14,83.13
seqwrite,4096,cfs_bench_coord,8,16.76,1013526628.61,13.56
seqwrite,4096,swapper,8,16.76,204050715.05,2.73
seqwrite,4096,htop,8,16.76,15696208.85,0.21
seqwrite,4096,cfs_bench_posix,10,18.5,6411831357.66,83.74
seqwrite,4096,cfs_bench_coord,10,18.5,998450930.31,13.04
seqwrite,4096,swapper,10,18.5,204437422.08,2.67
seqwrite,4096,htop,10,18.5,16845031.03,0.22
seqwrite,4096,cfs_bench_posix,16,25.42,7081312326.06,84.66
seqwrite,4096,cfs_bench_coord,16,25.42,974454153.07,11.65
seqwrite,4096,swapper,16,25.42,202418802.61,2.42
seqwrite,4096,git,16,25.42,41822066.66,0.5
seqwrite,4096,htop,16,25.42,18401709.33,0.22
seqwrite,4096,node,16,25.42,15892385.33,0.19
seqwrite,4096,rshim,16,25.42,8364413.33,0.1
append,4096,cfs_bench_posix,1,9.74,1349024131.82,50.32
append,4096,cfs_bench_coord,1,9.74,1066190177.32,39.77
append,4096,swapper,1,9.74,230020410.39,8.58
append,4096,htop,1,9.74,16085343.38,0.6
append,4096,rshim,1,9.74,5629870.18,0.21
append,4096,node,1,9.74,4289424.9,0.16
rwrite,4096,cfs_bench_posix,1,13.78,1289180000.96,48.84
rwrite,4096,cfs_bench_coord,1,13.78,1073788747.73,40.68
rwrite,4096,swapper,1,13.78,230700925.64,8.74
rwrite,4096,htop,1,13.78,16629471.76,0.63
rwrite,4096,node,1,13.78,5807117.12,0.22
rwrite,4096,rshim,1,13.78,5279197.38,0.2
rwrite,4096,pool-366,1,13.78,3959398.04,0.15
append,4096,cfs_bench_posix,2,10.85,2710538023.5,67.27
append,4096,cfs_bench_coord,2,10.85,1046017052.03,25.96
append,4096,swapper,2,10.85,222419650.51,5.52
append,4096,htop,2,10.85,20952575.77,0.52
append,4096,node,2,10.85,7655748.84,0.19
append,4096,rshim,2,10.85,5641078.09,0.14
append,4096,tmux:,2,10.85,4029341.49,0.1
rwrite,4096,cfs_bench_posix,2,15.3,2598536423.42,66.06
rwrite,4096,cfs_bench_coord,2,15.3,1066792428.14,27.12
rwrite,4096,swapper,2,15.3,221461702.45,5.63
rwrite,4096,htop,2,15.3,20454722.07,0.52
rwrite,4096,node,2,15.3,7080480.72,0.18
rwrite,4096,rshim,2,15.3,5507040.56,0.14
append,4096,cfs_bench_posix,4,12.29,2644530827.41,80.47
append,4096,cfs_bench_coord,4,12.29,525159719.42,15.98
append,4096,swapper,4,12.29,103191584.42,3.14
rwrite,4096,cfs_bench_posix,4,19.72,2421680572.13,79.16
rwrite,4096,cfs_bench_coord,4,19.72,520373756.09,17.01
rwrite,4096,swapper,4,19.72,102789877.75,3.36
rwrite,4096,rshim,4,19.72,3059222.55,0.1
append,4096,cfs_bench_posix,6,14.21,2827728285.81,81.85
append,4096,cfs_bench_coord,6,14.21,497832188.13,14.41
append,4096,swapper,6,14.21,102952111.08,2.98
append,4096,htop,6,14.21,10364306.48,0.3
append,4096,rshim,6,14.21,4145722.59,0.12
append,4096,tmux:,6,14.21,3800245.71,0.11
rwrite,4096,cfs_bench_posix,6,29.66,2532737115.6,79.49
rwrite,4096,cfs_bench_coord,6,29.66,524135432.78,16.45
rwrite,4096,swapper,6,29.66,102915346.38,3.23
rwrite,4096,htop,6,29.66,10195947.63,0.32
rwrite,4096,node,6,29.66,3823480.36,0.12
rwrite,4096,rshim,6,29.66,3823480.36,0.12
append,4096,cfs_bench_posix,8,16.42,2997452869.43,82.84
append,4096,cfs_bench_coord,8,16.42,501143436.04,13.85
append,4096,swapper,8,16.42,101314196.46,2.8
append,4096,tmux:,8,16.42,4342036.99,0.12
append,4096,rshim,8,16.42,4342036.99,0.12
rwrite,4096,cfs_bench_posix,8,35.4,2593875620.24,80.04
rwrite,4096,cfs_bench_coord,8,35.4,521108445.44,16.08
rwrite,4096,swapper,8,35.4,103055028.39,3.18
rwrite,4096,:109546,8,35.4,5509231.08,0.17
rwrite,4096,rshim,8,35.4,5185158.66,0.16
append,4096,cfs_bench_posix,10,18.75,3081920903.11,83.22
append,4096,cfs_bench_coord,10,18.75,501062122.32,13.53
append,4096,swapper,10,18.75,100360558.13,2.71
append,4096,tmux:,10,18.75,4444009.95,0.12
append,4096,rshim,10,18.75,4073675.79,0.11
append,4096,node,10,18.75,4073675.79,0.11
rwrite,4096,cfs_bench_posix,10,45.27,2597138160.27,79.93
rwrite,4096,cfs_bench_coord,10,45.27,525406281.14,16.17
rwrite,4096,swapper,10,45.27,102676799.53,3.16
